Location,Affiliation,observationUnitName,observationUnitDbId,plot.subplot,biomass_timepoint,biomass_T1,biomass_T2,biomass_T3,Sample_Date,PM3D Plot ID entered,notes
ND,ND-Berti,B4I_2025_PM3D_ND_11_subplot_1,741799,11.1,2,NA,1,NA,7/9/2025,11.1,
ND,ND-Berti,B4I_2025_PM3D_ND_12_subplot_1,741811,12.1,2,NA,1,NA,7/9/2025,12.1,
ND,ND-Berti,B4I_2025_PM3D_ND_13_subplot_1,741847,13.1,2,NA,1,NA,7/9/2025,13.1,
ND,ND-Berti,B4I_2025_PM3D_ND_14_subplot_1,741832,14.1,2,NA,1,NA,7/9/2025,14.1,
ND,ND-Berti,B4I_2025_PM3D_ND_15_subplot_3,741846,15.3,2,NA,1,NA,7/9/2025,15.3,
ND,ND-Berti,B4I_2025_PM3D_ND_16_subplot_1,741817,16.1,2,NA,1,NA,7/9/2025,16.1,
ND,ND-Berti,B4I_2025_PM3D_ND_17_subplot_3,741843,17.3,2,NA,1,NA,7/9/2025,17.3,
ND,ND-Berti,B4I_2025_PM3D_ND_18_subplot_3,741816,18.3,2,NA,1,NA,7/9/2025,18.3,
ND,ND-Berti,B4I_2025_PM3D_ND_19_subplot_1,741850,19.1,2,NA,1,NA,7/9/2025,19.1,
ND,ND-Berti,B4I_2025_PM3D_ND_20_subplot_1,741829,20.1,2,NA,1,NA,7/9/2025,20.1,
ND,ND-Berti,B4I_2025_PM3D_ND_01_subplot_3,741825,1.3,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_02_subplot_1,741826,2.1,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_03_subplot_3,741798,3.3,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_04_subplot_2,741806,4.2,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_05_subplot_2,741803,5.2,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_06_subplot_1,741808,6.1,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_07_subplot_2,741839,7.2,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_08_subplot_3,741855,8.3,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_09_subplot_3,741837,9.3,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_10_subplot_1,741820,10.1,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_11_subplot_3,741801,11.3,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_12_subplot_3,741813,12.3,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_13_subplot_3,741849,13.3,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_14_subplot_3,741834,14.3,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_15_subplot_2,741845,15.2,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_16_subplot_3,741819,16.3,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_17_subplot_1,741841,17.1,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_18_subplot_1,741814,18.1,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_19_subplot_3,741852,19.3,3,NA,NA,1,,,"PM3D system malfunction, no images available"
ND,ND-Berti,B4I_2025_PM3D_ND_20_subplot_3,741831,20.3,3,NA,NA,1,,,"PM3D system malfunction, no images available"
NY,NY-Jannink,B4I_2025_PM3D_NY_01_subplot_1,741910,1.1,1,1,NA,NA,6/2/2025,741910,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_02_subplot_3,741861,2.3,1,1,NA,NA,6/2/2025,741861,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_03_subplot_1,741886,3.1,1,1,NA,NA,6/2/2025,741886,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_04_subplot_1,741895,4.1,1,1,NA,NA,6/2/2025,741895,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_05_subplot_3,741894,5.3,1,1,NA,NA,6/2/2025,741894,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_06_subplot_1,741898,6.1,1,1,NA,NA,6/2/2025,741898,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_07_subplot_1,741865,7.1,1,1,NA,NA,6/2/2025,741865,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_08_subplot_3,741885,8.3,1,1,NA,NA,6/2/2025,741885,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_09_subplot_3,741873,9.3,1,1,NA,NA,6/2/2025,741873,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_10_subplot_3,741915,10.3,1,1,NA,NA,6/2/2025,741915,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_11_subplot_3,741891,11.3,1,1,NA,NA,6/2/2025,741891,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_12_subplot_1,741901,12.1,1,1,NA,NA,6/2/2025,741901,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_13_subplot_1,741877,13.1,1,1,NA,NA,6/2/2025,741877,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_14_subplot_2,741863,14.2,1,1,NA,NA,6/2/2025,741863,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_15_subplot_2,741875,15.2,1,1,NA,NA,6/2/2025,741875,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_16_subplot_2,741908,16.2,1,1,NA,NA,6/2/2025,741908,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_17_subplot_3,741870,17.3,1,1,NA,NA,6/2/2025,741870,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_18_subplot_2,741905,18.2,1,1,NA,NA,6/2/2025,741905,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_19_subplot_2,741881,19.2,1,1,NA,NA,6/2/2025,741881,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_20_subplot_3,741858,20.3,1,1,NA,NA,6/2/2025,741858,"images lost? additioal images taken of other subplots not sampled for possible use, still sorting this out with PM3D"
NY,NY-Jannink,B4I_2025_PM3D_NY_01_subplot_2,741911,1.2,2,NA,1,NA,6/24/2025,741911,
NY,NY-Jannink,B4I_2025_PM3D_NY_02_subplot_2,741860,2.2,2,NA,1,NA,6/24/2025,741860,
NY,NY-Jannink,B4I_2025_PM3D_NY_03_subplot_3,741888,3.3,2,NA,1,NA,6/24/2025,741888,
NY,NY-Jannink,B4I_2025_PM3D_NY_04_subplot_2,741896,4.2,2,NA,1,NA,6/24/2025,741896,
NY,NY-Jannink,B4I_2025_PM3D_NY_05_subplot_2,741893,5.2,2,NA,1,NA,6/24/2025,741893,
NY,NY-Jannink,B4I_2025_PM3D_NY_06_subplot_2,741899,6.2,2,NA,1,NA,6/24/2025,741899,
NY,NY-Jannink,B4I_2025_PM3D_NY_07_subplot_2,741866,7.2,2,NA,1,NA,6/24/2025,741866,
NY,NY-Jannink,B4I_2025_PM3D_NY_08_subplot_1,741883,8.1,2,NA,1,NA,6/24/2025,741883,
NY,NY-Jannink,B4I_2025_PM3D_NY_09_subplot_1,741871,9.1,2,NA,1,NA,6/24/2025,741871,
NY,NY-Jannink,B4I_2025_PM3D_NY_10_subplot_2,741914,10.2,2,NA,1,NA,6/24/2025,741914,
NY,NY-Jannink,B4I_2025_PM3D_NY_11_subplot_2,741890,11.2,2,NA,1,NA,6/24/2025,741890,
NY,NY-Jannink,B4I_2025_PM3D_NY_12_subplot_3,741903,12.3,2,NA,1,NA,6/24/2025,741903,
NY,NY-Jannink,B4I_2025_PM3D_NY_13_subplot_3,741879,13.3,2,NA,1,NA,6/24/2025,741879,
NY,NY-Jannink,B4I_2025_PM3D_NY_14_subplot_3,741864,14.3,2,NA,1,NA,6/24/2025,741864,
NY,NY-Jannink,B4I_2025_PM3D_NY_15_subplot_3,741876,15.3,2,NA,1,NA,6/24/2025,741876,
NY,NY-Jannink,B4I_2025_PM3D_NY_16_subplot_3,741909,16.3,2,NA,1,NA,6/24/2025,741909,
NY,NY-Jannink,B4I_2025_PM3D_NY_17_subplot_2,741869,17.2,2,NA,1,NA,6/24/2025,741869,
NY,NY-Jannink,B4I_2025_PM3D_NY_18_subplot_1,741904,18.1,2,NA,1,NA,6/24/2025,741904,
NY,NY-Jannink,B4I_2025_PM3D_NY_19_subplot_3,741882,19.3,2,NA,1,NA,6/24/2025,741882,
NY,NY-Jannink,B4I_2025_PM3D_NY_20_subplot_1,741856,20.1,2,NA,1,NA,6/24/2025,741856,
NY,NY-Jannink,B4I_2025_PM3D_NY_01_subplot_3,741912,1.3,3,NA,NA,1,7/14/2025,1.3,
NY,NY-Jannink,B4I_2025_PM3D_NY_02_subplot_1,741859,2.1,3,NA,NA,1,7/14/2025,2.1,
NY,NY-Jannink,B4I_2025_PM3D_NY_03_subplot_2,741887,3.2,3,NA,NA,1,7/14/2025,3.2,
NY,NY-Jannink,B4I_2025_PM3D_NY_04_subplot_3,741897,4.3,3,NA,NA,1,7/14/2025,4.3,
NY,NY-Jannink,B4I_2025_PM3D_NY_05_subplot_1,741892,5.1,3,NA,NA,1,7/14/2025,5.1,
NY,NY-Jannink,B4I_2025_PM3D_NY_06_subplot_3,741900,6.3,3,NA,NA,1,7/14/2025,6.3,
NY,NY-Jannink,B4I_2025_PM3D_NY_07_subplot_3,741867,7.3,3,NA,NA,1,7/14/2025,7.3,
NY,NY-Jannink,B4I_2025_PM3D_NY_08_subplot_2,741884,8.2,3,NA,NA,1,7/14/2025,8.2,
NY,NY-Jannink,B4I_2025_PM3D_NY_09_subplot_2,741872,9.2,3,NA,NA,1,7/14/2025,9.2,
NY,NY-Jannink,B4I_2025_PM3D_NY_10_subplot_1,741913,10.1,3,NA,NA,1,7/14/2025,10.1,
NY,NY-Jannink,B4I_2025_PM3D_NY_11_subplot_1,741889,11.1,3,NA,NA,1,7/14/2025,11.1,
NY,NY-Jannink,B4I_2025_PM3D_NY_12_subplot_2,741902,12.2,3,NA,NA,1,7/14/2025,12.2,
NY,NY-Jannink,B4I_2025_PM3D_NY_13_subplot_2,741878,13.2,3,NA,NA,1,7/14/2025,13.2,
NY,NY-Jannink,B4I_2025_PM3D_NY_14_subplot_1,741862,14.1,3,NA,NA,1,7/14/2025,14.1,
NY,NY-Jannink,B4I_2025_PM3D_NY_15_subplot_1,741874,15.1,3,NA,NA,1,7/14/2025,15.1,
NY,NY-Jannink,B4I_2025_PM3D_NY_16_subplot_1,741907,16.1,3,NA,NA,1,7/14/2025,16.1,
NY,NY-Jannink,B4I_2025_PM3D_NY_17_subplot_1,741868,17.1,3,NA,NA,1,7/14/2025,17.1,
NY,NY-Jannink,B4I_2025_PM3D_NY_18_subplot_3,741906,18.3,3,NA,NA,1,7/14/2025,18.3,
NY,NY-Jannink,B4I_2025_PM3D_NY_19_subplot_1,741880,19.1,3,NA,NA,1,7/14/2025,19.1,
NY,NY-Jannink,B4I_2025_PM3D_NY_20_subplot_2,741857,20.2,3,NA,NA,1,7/14/2025,20.2,
